unit,ru,cn
Урок 2,он,他
Урок 2,ты,你
Урок 2,им,他 (第五格); 他们 (第三格)
Урок 2,кто,谁
Урок 2,та,那个
Урок 2,то,那个
Урок 2,тот,那个
Урок 2,а,而；那个
Урок 2,как,怎样
Урок 2,так,这样
Урок 2,там,那里
Урок 2,тут,这里
Урок 2,у,在……附近
Урок 2,и,和
Урок 2,но,但是
Урок 2,ну,"喂, 嗯"
Урок 2,кот,猫
Урок 2,ум,智慧
Урок 2,том,"卷, 册"
Урок 3,папа,爸爸
Урок 3,сын,儿子
Урок 3,"наш, наша",我们的
Урок 3,"сам, сама",自己
Урок 3,поэт,诗人
Урок 3,машина,机器; 轿车
Урок 3,каток,滑冰场
Урок 3,мост,桥
Урок 3,сок,果汁
Урок 3,суп,汤
Урок 3,томат,西红柿
Урок 3,стакан,杯子
Урок 3,сумка,包
Урок 3,шапка,帽子
Урок 3,шкаф,柜子
Урок 3,фото,照片
Урок 3,туман,雾
Урок 3,опасно,危险
Урок 3,пока,暂时; 当……时
Урок 3,потом,然后
Урок 3,потому,"因此, 所以"
Урок 3,сто,一百
Урок 4,город,城市
Урок 4,Москва,莫斯科
Урок 4,парк,公园
Урок 4,сад,花园
Урок 4,рынок,市场
Урок 4,выставка,展览会
Урок 4,клуб,俱乐部
Урок 4,завод,工厂
Урок 4,автобус,公共汽车
Урок 4,этаж,楼层
Урок 4,гора,山
Урок 4,вода,水
Урок 4,трава,"草, 青草"
Урок 4,брат,兄弟
Урок 4,друг,朋友
Урок 4,класс,班级
Урок 4,курс,年级
Урок 4,мозг,大脑
Урок 4,рука,手
Урок 4,зуб,牙齿
Урок 4,буква,字母
Урок 4,сказка,童话
Урок 4,урок,课
Урок 4,игра,游戏; 演奏
Урок 4,год,年
Урок 4,завтра,明天
Урок 4,когда,什么时候
Урок 4,куда,去哪里
Урок 4,откуда,从哪里
Урок 4,вкусно,好吃
Урок 4,также,"同样, 也"
Урок 4,иногда,有时
Урок 5,герой,英雄
Урок 5,родители,父母
Урок 5,дядя,"叔叔, 伯伯"
Урок 5,тётя,"婶婶, 阿姨"
Урок 5,люди,人们
Урок 5,ему,他 (第三格)
Урок 5,меня,我 (第二、四格)
Урок 5,Пекин,北京
Урок 5,Китай,中国
Урок 5,Санкт-Петербург,圣彼得堡
Урок 5,Россия,俄罗斯
Урок 5,вокзал,火车站
Урок 5,станция,车站
Урок 5,школа,(中小) 学校
Урок 5,метро,地铁
Урок 5,троллейбус,无轨电车
Урок 5,поле,田野
Урок 5,море,大海
Урок 5,земля,土地
Урок 5,луна,月亮
Урок 5,лето,夏天
Урок 5,осень,秋天
Урок 5,май,五月
Урок 5,время,时间
Урок 5,молоко,牛奶
Урок 5,мясо,肉
Урок 5,картофель,土豆
Урок 5,колбаса,香肠
Урок 5,яблоко,苹果
Урок 5,яйцо,(禽类等的) 蛋
Урок 5,масло,油
Урок 5,билет,票
Урок 5,журнал,杂志
Урок 5,лампа,灯
Урок 5,номер,号码; 房间
Урок 5,стол,桌子
Урок 5,стул,椅子
Урок 5,телефон,电话
Урок 5,глаза,眼睛
Урок 5,голова,头
Урок 5,имя,名字
Урок 5,слово,词
Урок 5,язык,语言
Урок 5,пяти,五 (第二、三、六格)
Урок 5,волейбол,排球
Урок 5,балет,芭蕾
Урок 5,даю,(我) 给
Урок 5,еду,(我) 乘车行
Урок 5,знает,(他) 知道
Урок 5,знают,(他们) 知道
Урок 5,привет,问候
Урок 6,отец,父亲
Урок 6,врач,医生
Урок 6,лётчик,飞行员
Урок 6,переводчик,翻译 (员)
Урок 6,китаец,中国人
Урок 6,женщина,妇女
Урок 6,девочка,女孩
Урок 6,мальчик,男孩
Урок 6,дочка,女儿
Урок 6,семья,家庭
Урок 6,человек,人
Урок 6,лицо,脸; 人
Урок 6,городской,城市的
Урок 6,заводской,工厂的
Урок 6,столица,首都
Урок 6,город,城市
Урок 6,улица,街道
Урок 6,площадь,广场
Урок 6,дворец,宫殿
Урок 6,вход,入口
Урок 6,выход,出口
Урок 6,почта,邮局; 邮箱
Урок 6,здесь,这里
Урок 6,солнце,太阳
Урок 6,воздух,空气
Урок 6,день,"天, 日子"
Урок 6,месяц,月份; 月亮
Урок 6,сегодня,今天
Урок 6,вчера,昨天
Урок 6,вечером,在晚上
Урок 6,ночью,在夜里
Урок 6,будущий,未来的
Урок 6,праздник,节日
Урок 6,съезд,代表大会
Урок 6,ключ,钥匙
Урок 6,ручка,钢笔
Урок 6,платье,连衣裙
Урок 6,хлеб,面包
Урок 6,чай,茶
Урок 6,овощи,蔬菜
Урок 6,сердце,心
Урок 6,объём,容量
Урок 6,оценка,评价
Урок 6,конец,终点
Урок 6,чувство,感觉
Урок 6,пятнадцать,十五
Урок 6,говорить,说
Урок 6,делать,做
Урок 6,писать,写
Урок 6,читать,"读, 阅读"
Урок 6,считать,数数; 认为
Урок 6,учиться,学习
Урок 6,учится,(他/她) 学习
Урок 6,ехать,"行驶, 乘车行"
Урок 6,приезжать,(乘车) 来
Урок 6,съездить,去一趟
Урок 6,ищу,(我) 寻找
Урок 6,сшить,缝
Урок 6,съесть,吃 (掉)
Урок 6,расширить,"开拓, 扩大"
Урок 6,сжать,压缩; 抱紧
Урок 6,красивый,美丽的
Урок 6,радостный,高兴的
Урок 6,счастливый,幸福的
Урок 6,известный,著名的
Урок 6,чистый,干净的
Урок 6,тихий,安静的
Урок 6,синий,蓝色的
Урок 6,чёрный,黑色的
Урок 6,плохо,"坏, 不好"
Урок 6,холодно,冷
Урок 6,очень,"非常, 很"
Урок 6,поздно,"迟, 晚"
Урок 6,почти,几乎
Урок 6,часто,经常
Урок 6,ещё,还
Урок 6,какой,怎样的; 哪个
Урок 6,почему,为什么
Урок 6,чей,谁的
Урок 7,студент,大学生
Урок 7,сестра,姐妹
Урок 7,вы,"您, 你们"
Урок 7,она,她
Урок 7,я,我
Урок 7,этот,这个
Урок 7,здание,楼房
Урок 7,комната,房间
Урок 7,окно,窗户
Урок 7,факультет,系
Урок 7,наука,科学
Урок 7,математический,数学的
Урок 7,экономический,经济的
Урок 7,словарь,词典
Урок 7,футбол,足球
Урок 7,один,一
Урок 7,два,二
